RegionID,SizeRank,RegionName,RegionType,StateName,date,rent_index,zorf_growth_pct,rent_lag1,rent_lag3,month
395148,18,"Tampa, FL",msa,FL,2016-02-29,1106.9990895350022,,1102.7093103548918,1093.2034554826653,2
395148,18,"Tampa, FL",msa,FL,2016-03-31,1109.7006360372734,,1106.9990895350022,1098.672457492568,3
395148,18,"Tampa, FL",msa,FL,2016-04-30,1116.5545527842569,,1109.7006360372734,1102.7093103548918,4
395148,18,"Tampa, FL",msa,FL,2016-05-31,1120.8981404978513,,1116.5545527842569,1106.9990895350022,5
395148,18,"Tampa, FL",msa,FL,2016-06-30,1128.5094591711738,,1120.8981404978513,1109.7006360372734,6
395148,18,"Tampa, FL",msa,FL,2016-07-31,1130.2693363277592,,1128.5094591711738,1116.5545527842569,7
395148,18,"Tampa, FL",msa,FL,2016-08-31,1133.6748219870808,,1130.2693363277592,1120.8981404978513,8
395148,18,"Tampa, FL",msa,FL,2016-09-30,1137.099008665646,,1133.6748219870808,1128.5094591711738,9
395148,18,"Tampa, FL",msa,FL,2016-10-31,1142.023205715286,,1137.099008665646,1130.2693363277592,10
395148,18,"Tampa, FL",msa,FL,2016-11-30,1145.804469924035,,1142.023205715286,1133.6748219870808,11
395148,18,"Tampa, FL",msa,FL,2016-12-31,1146.8349579412836,,1145.804469924035,1137.099008665646,12
395148,18,"Tampa, FL",msa,FL,2017-01-31,1151.6067685154835,,1146.8349579412836,1142.023205715286,1
395148,18,"Tampa, FL",msa,FL,2017-02-28,1157.1506634111597,,1151.6067685154835,1145.804469924035,2
395148,18,"Tampa, FL",msa,FL,2017-03-31,1166.7661600949475,,1157.1506634111597,1146.8349579412836,3
395148,18,"Tampa, FL",msa,FL,2017-04-30,1176.064065846345,,1166.7661600949475,1151.6067685154835,4
395148,18,"Tampa, FL",msa,FL,2017-05-31,1185.5292675058547,,1176.064065846345,1157.1506634111597,5
395148,18,"Tampa, FL",msa,FL,2017-06-30,1192.838003305435,,1185.5292675058547,1166.7661600949475,6
395148,18,"Tampa, FL",msa,FL,2017-07-31,1195.2226278991484,,1192.838003305435,1176.064065846345,7
395148,18,"Tampa, FL",msa,FL,2017-08-31,1195.1472764182265,,1195.2226278991484,1185.5292675058547,8
395148,18,"Tampa, FL",msa,FL,2017-09-30,1195.01428551892,,1195.1472764182265,1192.838003305435,9
395148,18,"Tampa, FL",msa,FL,2017-10-31,1197.2213224873308,,1195.01428551892,1195.2226278991484,10
395148,18,"Tampa, FL",msa,FL,2017-11-30,1202.0287430320925,,1197.2213224873308,1195.1472764182265,11
395148,18,"Tampa, FL",msa,FL,2017-12-31,1208.0683292809083,,1202.0287430320925,1195.01428551892,12
395148,18,"Tampa, FL",msa,FL,2018-01-31,1214.2275924607488,,1208.0683292809083,1197.2213224873308,1
395148,18,"Tampa, FL",msa,FL,2018-02-28,1220.4031760610346,,1214.2275924607488,1202.0287430320925,2
395148,18,"Tampa, FL",msa,FL,2018-03-31,1227.1638320308225,,1220.4031760610346,1208.0683292809083,3
395148,18,"Tampa, FL",msa,FL,2018-04-30,1236.788844610151,,1227.1638320308225,1214.2275924607488,4
395148,18,"Tampa, FL",msa,FL,2018-05-31,1245.2564154128522,,1236.788844610151,1220.4031760610346,5
395148,18,"Tampa, FL",msa,FL,2018-06-30,1254.1014854715486,,1245.2564154128522,1227.1638320308225,6
395148,18,"Tampa, FL",msa,FL,2018-07-31,1258.4935114531838,,1254.1014854715486,1236.788844610151,7
395148,18,"Tampa, FL",msa,FL,2018-08-31,1263.0934444592456,,1258.4935114531838,1245.2564154128522,8
395148,18,"Tampa, FL",msa,FL,2018-09-30,1261.1590006394044,,1263.0934444592456,1254.1014854715486,9
395148,18,"Tampa, FL",msa,FL,2018-10-31,1263.1421370481974,,1261.1590006394044,1258.4935114531838,10
395148,18,"Tampa, FL",msa,FL,2018-11-30,1268.3591089935603,,1263.1421370481974,1263.0934444592456,11
395148,18,"Tampa, FL",msa,FL,2018-12-31,1272.7604617086038,,1268.3591089935603,1261.1590006394044,12
395148,18,"Tampa, FL",msa,FL,2019-01-31,1276.75755544367,,1272.7604617086038,1263.1421370481974,1
395148,18,"Tampa, FL",msa,FL,2019-02-28,1278.2548279350012,,1276.75755544367,1268.3591089935603,2
395148,18,"Tampa, FL",msa,FL,2019-03-31,1286.7102777238958,,1278.2548279350012,1272.7604617086038,3
395148,18,"Tampa, FL",msa,FL,2019-04-30,1295.8708635650285,,1286.7102777238958,1276.75755544367,4
395148,18,"Tampa, FL",msa,FL,2019-05-31,1305.206578381588,,1295.8708635650285,1278.2548279350012,5
395148,18,"Tampa, FL",msa,FL,2019-06-30,1312.354516706751,,1305.206578381588,1286.7102777238958,6
395148,18,"Tampa, FL",msa,FL,2019-07-31,1316.3482177414023,,1312.354516706751,1295.8708635650285,7
395148,18,"Tampa, FL",msa,FL,2019-08-31,1320.8885823521462,,1316.3482177414023,1305.206578381588,8
395148,18,"Tampa, FL",msa,FL,2019-09-30,1322.591733245994,,1320.8885823521462,1312.354516706751,9
395148,18,"Tampa, FL",msa,FL,2019-10-31,1324.4727549542235,,1322.591733245994,1316.3482177414023,10
395148,18,"Tampa, FL",msa,FL,2019-11-30,1323.8125960599796,,1324.4727549542235,1320.8885823521462,11
395148,18,"Tampa, FL",msa,FL,2019-12-31,1328.216511033514,,1323.8125960599796,1322.591733245994,12
395148,18,"Tampa, FL",msa,FL,2020-01-31,1332.3453671676416,,1328.216511033514,1324.4727549542235,1
395148,18,"Tampa, FL",msa,FL,2020-02-29,1338.2880267495411,,1332.3453671676416,1323.8125960599796,2
