ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rent_lag1,rent_lag1_lower,rent_lag1_upper,rent_lag3,rent_lag3_lower,rent_lag3_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,zorf_growth_pct,zorf_growth_pct_lower,zorf_growth_pct_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-10-31,1954.6098897891561,1896.5575907784166,2351.63049208599,1954.6098897891561,1954.6098897891561,184.85194198156012,184.85194198156012,184.85194198156012,137.9514081761472,137.9514081761472,137.9514081761472,-869.6720405983381,-869.6720405983381,-869.6720405983381,1174.633897845009,1174.633897845009,1174.633897845009,-167.01044907052375,-167.01044907052375,-167.01044907052375,46.90053380541293,46.90053380541293,46.90053380541293,0.0,0.0,0.0,0.0,0.0,0.0,2139.4618317707163
2020-11-30,1964.3603199802662,1899.8211986204738,2357.428008095193,1964.3603199802662,1964.3603199802662,147.02521896979607,147.02521896979607,147.02521896979607,139.97792486646048,139.97792486646048,139.97792486646048,-875.4511400610801,-875.4511400610801,-875.4511400610801,1182.4395139980643,1182.4395139980643,1182.4395139980643,-167.01044907052375,-167.01044907052375,-167.01044907052375,7.04729410333561,7.04729410333561,7.04729410333561,0.0,0.0,0.0,0.0,0.0,0.0,2111.3855389500623
2020-12-31,1974.018990756354,1931.3249461021476,2364.2268958064406,1974.018990756354,1974.018990756354,161.72595216086782,161.72595216086782,161.72595216086782,142.01790806020182,142.01790806020182,142.01790806020182,-881.268642495335,-881.268642495335,-881.268642495335,1190.2969996260606,1190.2969996260606,1190.2969996260606,-167.01044907052375,-167.01044907052375,-167.01044907052375,19.70804410066603,19.70804410066603,19.70804410066603,0.0,0.0,0.0,0.0,0.0,0.0,2135.744942917222
2021-01-31,1983.6776615324416,1738.5675056035072,2180.4291594730103,1983.6776615324416,1983.6776615324416,-20.056089226587712,-20.056089226587712,-20.056089226587712,144.0714472442802,144.0714472442802,144.0714472442802,-887.1248030945333,-887.1248030945333,-887.1248030945333,1198.2066994093373,1198.2066994093373,1198.2066994093373,-167.01044907052375,-167.01044907052375,-167.01044907052375,-164.12753647086788,-164.12753647086788,-164.12753647086788,0.0,0.0,0.0,0.0,0.0,0.0,1963.6215723058538
2021-02-28,1992.4016222334244,1740.0837935706672,2196.906464300425,1992.4016222334244,1992.4016222334244,-24.593732599920642,-24.593732599920642,-24.593732599920642,146.13863250025886,146.13863250025886,146.13863250025886,-893.0198787479047,-893.0198787479047,-893.0198787479047,1206.1689603186874,1206.1689603186874,1206.1689603186874,-167.01044907052375,-167.01044907052375,-167.01044907052375,-170.73236510017952,-170.73236510017952,-170.73236510017952,0.0,0.0,0.0,0.0,0.0,0.0,1967.8078896335037
2021-03-31,2002.0602930095117,1792.8240339528545,2244.1486753888184,2002.0602930095117,2002.0602930095117,20.12987121381636,20.12987121381636,20.12987121381636,148.21955450830558,148.21955450830558,148.21955450830558,-898.9541280517451,-898.9541280517451,-898.9541280517451,1214.1841316305745,1214.1841316305745,1214.1841316305745,-167.01044907052375,-167.01044907052375,-167.01044907052375,-128.08968329448922,-128.08968329448922,-128.08968329448922,0.0,0.0,0.0,0.0,0.0,0.0,2022.190164223328
2021-04-30,2010.9229539929477,2092.9412208079343,2537.4405853494086,2010.9229539929477,2010.9229539929477,299.28115376733433,299.28115376733433,299.28115376733433,150.31430455117172,150.31430455117172,150.31430455117172,-904.9278113207616,-904.9278113207616,-904.9278113207616,1222.2525649424572,1222.2525649424572,1222.2525649424572,-167.01044907052375,-167.01044907052375,-167.01044907052375,148.96684921616264,148.96684921616264,148.96684921616264,0.0,0.0,0.0,0.0,0.0,0.0,2310.204107760282
2021-05-31,2020.0810370091642,2104.6106907397993,2568.9253426098044,2020.0810370091642,2020.0810370091642,324.0061080493974,324.0061080493974,324.0061080493974,152.4229745181955,152.4229745181955,152.4229745181955,-910.9411905994909,-910.9411905994909,-910.9411905994909,1230.3746141882102,1230.3746141882102,1230.3746141882102,-167.01044907052375,-167.01044907052375,-167.01044907052375,171.58313353120195,171.58313353120195,171.58313353120195,0.0,0.0,0.0,0.0,0.0,0.0,2344.087145058562
2021-08-31,2047.2598640250335,1944.093565631383,2412.366527392758,2047.2598640250335,2047.2598640250335,118.56768582848518,118.56768582848518,118.56768582848518,154.54565690933373,154.54565690933373,154.54565690933373,-916.9945296737947,-916.9945296737947,-916.9945296737947,1238.550635653652,1238.550635653652,1238.550635653652,-167.01044907052375,-167.01044907052375,-167.01044907052375,-35.97797108084854,-35.97797108084854,-35.97797108084854,0.0,0.0,0.0,0.0,0.0,0.0,2165.8275498535186
2021-09-30,2056.1225250084694,2026.908166855888,2483.5623388137687,2056.1225250084694,2056.1225250084694,199.01169070867113,199.01169070867113,199.01169070867113,156.68244483921944,156.68244483921944,156.68244483921944,-923.0880940824301,-923.0880940824301,-923.0880940824301,1246.7809879921733,1246.7809879921733,1246.7809879921733,-167.01044907052375,-167.01044907052375,-167.01044907052375,42.32924586945168,42.32924586945168,42.32924586945168,0.0,0.0,0.0,0.0,0.0,0.0,2255.1342157171407
